date,open,high,low,close,volume
2025-01-02,23783.0,24226.7,23751.5,24188.7,0.0
2025-01-03,24196.4,24196.5,23976.0,24004.8,0.0
2025-01-06,24045.8,24090.0,23551.9,23616.0,0.0
2025-01-07,23679.9,23795.2,23637.8,23707.9,0.0
2025-01-08,23746.7,23751.8,23496.2,23689.0,0.0
2025-01-09,23674.8,23689.5,23503.0,23526.5,0.0
2025-01-10,23551.9,23596.6,23344.3,23431.5,0.0
2025-01-13,23195.4,23341.0,23047.2,23086.0,0.0
2025-01-14,23165.9,23265.0,23134.2,23176.0,0.0
2025-01-15,23250.5,23293.7,23146.5,23213.2,0.0
2025-01-16,23377.2,23391.7,23272.0,23311.8,0.0
2025-01-17,23277.1,23292.1,23100.3,23203.2,0.0
2025-01-20,23290.4,23391.1,23170.7,23344.8,0.0
2025-01-21,23421.7,23426.3,22976.8,23024.7,0.0
2025-01-22,23099.2,23169.5,22981.3,23155.3,0.0
2025-01-23,23128.3,23270.8,23090.7,23205.3,0.0
2025-01-24,23183.9,23347.3,23050.0,23092.2,0.0
2025-01-27,22940.2,23007.5,22786.9,22829.2,0.0
2025-01-28,22960.5,23138.0,22857.7,22957.2,0.0
2025-01-29,23026.8,23183.3,22976.5,23163.1,0.0
2025-01-30,23169.5,23322.0,23139.2,23249.5,0.0
2025-01-31,23296.8,23546.8,23277.4,23508.4,0.0
2025-02-01,23528.6,23632.5,23318.3,23482.2,0.0
2025-02-03,23319.3,23381.6,23222.0,23361.0,0.0
2025-02-04,23509.9,23762.8,23423.2,23739.2,0.0
2025-02-05,23801.8,23807.3,23680.5,23696.3,0.0
2025-02-06,23762.0,23773.5,23556.2,23603.3,0.0
2025-02-07,23649.5,23694.5,23443.2,23560.0,0.0
2025-02-10,23543.8,23568.6,23316.3,23381.6,0.0
2025-02-11,23383.5,23390.0,22986.7,23071.8,0.0
2025-02-12,23050.8,23144.7,22798.3,23045.2,0.0
2025-02-13,23055.8,23235.5,22992.2,23031.4,0.0
2025-02-14,23096.5,23133.7,22774.8,22929.2,0.0
2025-02-17,22809.9,22974.2,22725.5,22959.5,0.0
2025-02-18,22963.7,22992.5,22801.5,22945.3,0.0
2025-02-19,22847.2,23050.0,22814.8,22932.9,0.0
2025-02-20,22821.1,22923.8,22812.8,22913.2,0.0
2025-02-21,22857.2,22921.0,22720.3,22795.9,0.0
2025-02-24,22609.3,22668.0,22518.8,22553.3,0.0
2025-02-25,22516.5,22625.3,22513.9,22547.5,0.0
2025-02-27,22569.0,22613.3,22508.4,22545.0,0.0
2025-02-28,22433.4,22450.3,22104.8,22124.7,0.0
2025-03-03,22194.5,22261.5,22004.7,22119.3,0.0
2025-03-04,21974.5,22105.0,21964.6,22082.7,0.0
2025-03-05,22073.0,22394.9,22067.8,22337.3,0.0
2025-03-06,22476.3,22556.5,22245.8,22544.7,0.0
2025-03-07,22508.7,22633.8,22464.8,22552.5,0.0
