datetime,open,high,low,close,volume
2026-03-02 09:15:00,24723.4,24939.1,24722.0,24858.35,0.0
2026-03-02 09:16:00,24852.3,24864.45,24834.0,24839.8,0.0
2026-03-02 09:17:00,24842.8,24895.4,24837.9,24874.95,0.0
2026-03-02 09:18:00,24878.05,24892.0,24853.65,24870.3,0.0
2026-03-02 09:19:00,24870.4,24894.3,24864.9,24892.95,0.0
2026-03-02 09:20:00,24893.1,24941.65,24891.3,24929.85,0.0
2026-03-02 09:21:00,24934.25,24957.05,24927.15,24929.45,0.0
2026-03-02 09:22:00,24928.75,24934.25,24908.05,24925.8,0.0
2026-03-02 09:23:00,24925.5,24925.5,24878.8,24885.6,0.0
2026-03-02 09:24:00,24886.6,24910.15,24886.6,24896.5,0.0
2026-03-02 09:25:00,24896.7,24896.7,24863.05,24869.9,0.0
2026-03-02 09:26:00,24866.1,24884.35,24857.1,24884.35,0.0
2026-03-02 09:27:00,24883.5,24912.15,24882.05,24907.9,0.0
2026-03-02 09:28:00,24907.05,24920.15,24905.4,24920.15,0.0
2026-03-02 09:29:00,24918.3,24918.3,24882.55,24889.4,0.0
2026-03-02 09:30:00,24889.75,24927.5,24885.45,24927.1,0.0
2026-03-02 09:31:00,24926.8,24934.75,24923.1,24931.15,0.0
2026-03-02 09:32:00,24929.6,24939.5,24915.9,24935.05,0.0
2026-03-02 09:33:00,24933.65,24970.85,24932.6,24964.15,0.0
2026-03-02 09:34:00,24963.25,24975.4,24963.0,24974.55,0.0
2026-03-02 09:35:00,24975.7,24977.25,24961.75,24966.85,0.0
2026-03-02 09:36:00,24967.5,24974.4,24944.55,24947.95,0.0
2026-03-02 09:37:00,24948.8,24953.05,24923.8,24931.8,0.0
2026-03-02 09:38:00,24931.6,24952.9,24926.6,24943.85,0.0
2026-03-02 09:39:00,24944.15,24955.9,24941.45,24949.8,0.0
2026-03-02 09:40:00,24948.55,24975.75,24944.25,24944.25,0.0
2026-03-02 09:41:00,24946.15,24972.5,24936.05,24960.75,0.0
2026-03-02 09:42:00,24960.35,24968.5,24953.75,24967.25,0.0
2026-03-02 09:43:00,24967.65,24977.1,24964.2,24966.0,0.0
2026-03-02 09:44:00,24967.1,24971.5,24961.5,24963.65,0.0
2026-03-02 09:45:00,24964.3,24972.7,24962.25,24966.3,0.0
2026-03-02 09:46:00,24964.05,24975.8,24954.25,24973.2,0.0
2026-03-02 09:47:00,24975.15,24978.85,24968.8,24978.85,0.0
2026-03-02 09:48:00,24976.85,24988.75,24969.4,24972.8,0.0
2026-03-02 09:49:00,24970.3,24970.3,24948.6,24953.2,0.0
2026-03-02 09:50:00,24949.4,24951.1,24927.4,24943.8,0.0
2026-03-02 09:51:00,24943.5,24946.5,24921.4,24945.65,0.0
2026-03-02 09:52:00,24945.5,24948.65,24921.05,24921.05,0.0
2026-03-02 09:53:00,24916.5,24919.5,24898.4,24898.4,0.0
2026-03-02 09:54:00,24897.5,24905.7,24883.2,24884.15,0.0
2026-03-02 09:55:00,24886.7,24902.55,24886.1,24897.0,0.0
2026-03-02 09:56:00,24899.5,24904.05,24896.2,24901.15,0.0
2026-03-02 09:57:00,24904.0,24931.3,24901.7,24931.3,0.0
2026-03-02 09:58:00,24931.05,24939.85,24926.85,24931.3,0.0
2026-03-02 09:59:00,24932.15,24946.1,24930.15,24945.1,0.0
2026-03-02 10:00:00,24946.2,24953.25,24937.15,24939.65,0.0
2026-03-02 10:01:00,24941.3,24942.75,24933.45,24934.3,0.0
2026-03-02 10:02:00,24934.4,24935.35,24911.85,24911.85,0.0
2026-03-02 10:03:00,24912.85,24923.4,24906.65,24909.1,0.0
2026-03-02 10:04:00,24908.75,24911.8,24894.65,24898.25,0.0
2026-03-02 10:05:00,24898.95,24905.95,24898.6,24902.9,0.0
2026-03-02 10:06:00,24903.45,24903.45,24893.35,24899.7,0.0
2026-03-02 10:07:00,24902.15,24909.6,24885.35,24889.1,0.0
