2026-04-09 15:47:00,202 | INFO | market_scheduler | Starting MarketScheduler
2026-04-09 15:47:00,202 | INFO | samco_client | Attempting SAMCO login
2026-04-09 15:47:01,797 | INFO | samco_client | SAMCO login successful
2026-04-09 15:47:02,114 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:02,114 | WARNING | market_scheduler | ORB frozen but range is None — no data before 09:30?
2026-04-09 15:47:03,243 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:04,342 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:05,573 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:06,724 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:07,864 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:09,006 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:10,141 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:11,465 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:12,590 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:13,702 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:14,835 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:15,953 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:17,086 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:18,212 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:19,347 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:20,491 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:21,671 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:22,808 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:23,936 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:25,050 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:26,240 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:27,360 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:28,477 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:29,591 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:30,711 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:31,826 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:32,981 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:34,134 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:35,265 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:36,382 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:37,562 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:38,695 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:39,824 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:40,933 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:42,050 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:43,186 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:44,298 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:45,464 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:46,818 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:47,966 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:49,083 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:50,223 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:51,351 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:52,468 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:53,584 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:47:54,702 | INFO | market_scheduler | NIFTY spot=23775.10
