date,signal,orb_high,orb_low,orb_range,entry_time,entry_spot,strike,expiry,entry_premium,sl_premium,target_premium,exit_time,exit_price,exit_reason,qty,pnl
2026-04-01,CALL,22930.15,22811.4,118.75,2026-04-01 09:30:00,22932.15,23000,2026-04-02,44.5,31.15,71.2,2026-04-01 09:31:00,31.15,STOPLOSS,50,-667.5
2026-04-02,PUT,22383.4,22209.5,173.9,2026-04-02 09:59:00,22207.5,22150,2026-04-02,43.02,30.11,68.83,2026-04-02 10:14:00,40.32,TRAILING_SL,50,-135.0
2026-04-06,PUT,22785.85,22592.3,193.55,2026-04-06 09:49:00,22590.3,22550,2026-04-09,98.02,68.61,156.83,2026-04-06 10:13:00,84.66,TRAILING_SL,50,-668.0
2026-04-07,CALL,22892.6,22720.45,172.15,2026-04-07 09:30:00,22894.6,22950,2026-04-09,79.65,55.76,127.44,2026-04-07 09:35:00,63.72,TRAILING_SL,50,-796.5
2026-04-08,CALL,23928.1,23836.9,91.2,2026-04-08 09:45:00,23930.1,24000,2026-04-09,46.76,32.73,74.82,2026-04-08 09:54:00,44.8,TRAILING_SL,50,-98.0
2026-04-09,PUT,23989.75,23816.45,173.3,2026-04-09 09:50:00,23814.45,23750,2026-04-09,45.13,31.59,72.21,2026-04-09 10:03:00,45.41,TRAILING_SL,50,14.0
2026-04-10,CALL,23978.2,23867.2,111.0,2026-04-10 09:47:00,23980.2,24050,2026-04-16,162.93,114.05,260.69,2026-04-10 15:15:00,183.56,EOD,50,1031.5
